,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
62,MKTX,52.38,-0.61,21,49.19,43,3,Capital Markets,Financial Services,7.577,200.09,-0.003,0.427,-0.14
63,FFIC,46.67,-1.45,15,53.0,39,3,Banks - Regional,Financial Services,0.32,11.02,-0.007,0.283,-0.19
64,TMP,25.0,-9.06,12,144.0,57,3,Banks - Regional,Financial Services,0.634,43.98,-0.023,0.083,-0.19
65,ULTA,41.67,-2.79,12,70.75,1,2,Specialty Retail,Consumer Cyclical,19.308,400.01,-0.012,0.17,-0.2
66,PBT,48.57,-0.74,35,58.14,83,3,Oil & Gas Midstream,Energy,0.536,11.5,-0.004,0.602,-0.22
67,RPD,41.67,-2.32,12,44.25,10,3,Software - Infrastructure,Technology,2.807,45.08,-0.01,0.271,-0.26
68,CRNC,22.22,-17.41,9,87.67,37,3,Software - Application,Technology,0.38,9.11,-0.039,0.103,-0.4
69,CABA,33.33,-19.68,6,92.0,7,3,Biotechnology,Healthcare,0.514,10.65,-0.066,0.065,-0.43
70,ZYME,22.22,-16.95,9,67.67,1,1,Biotechnology,Healthcare,0.613,8.69,-0.038,0.133,-0.5
71,TTEC,55.56,-3.09,36,61.58,22,3,Information Technology Services,Technology,0.345,7.26,-0.017,0.585,-1.0
