,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
221,NBB,66.67,2.63,9,50.0,307,0,Asset Management,Financial Services,0.455,15.47,0.018,0.18,0.32
222,STEM,33.33,7.22,6,44.83,175,0,Software - Infrastructure,Technology,0.416,2.67,0.024,0.134,0.32
223,RGLD,46.0,0.72,50,56.34,143,0,Gold,Basic Materials,7.013,106.76,0.003,0.887,0.29
224,FSLY,-33.33,-52.86,3,189.0,315,0,Software - Application,Technology,1.859,14.21,0.176,0.016,0.28
225,INDI,66.67,3.75,3,28.0,633,0,Semiconductor Equipment & Materials,Technology,0.961,5.93,0.025,0.107,0.27
226,MTW,72.73,0.56,33,51.91,934,0,Farm & Heavy Construction Machinery,Industrials,0.467,13.3,0.004,0.636,0.26
227,TGTX,58.33,1.47,24,78.75,65,0,Biotechnology,Healthcare,2.017,13.32,0.009,0.305,0.26
228,UDMY,83.33,2.86,6,60.0,259,0,Education & Training Services,Consumer Defensive,1.63,10.63,0.024,0.1,0.24
229,RICK,45.45,1.02,33,71.0,55,0,Restaurants,Consumer Cyclical,0.526,56.17,0.005,0.465,0.22
230,DHIL,50.0,1.78,12,50.75,953,0,Asset Management,Financial Services,0.431,149.81,0.009,0.236,0.21
231,CLOV,-16.67,-13.07,6,75.0,262,0,Healthcare Plans,Healthcare,0.44,0.9,0.022,0.08,0.17
232,TWLO,77.78,1.38,9,57.67,1037,0,Internet Content & Information,Communication Services,10.502,58.01,0.011,0.156,0.17
233,HTZ,-33.33,-8.89,3,54.0,36,0,Rental & Leasing Services,Industrials,2.268,7.43,0.03,0.056,0.16
234,PLOW,50.0,2.97,6,54.5,170,0,Auto Parts,Consumer Cyclical,0.552,24.02,0.015,0.11,0.16
235,RIVN,-33.33,-14.83,3,99.0,180,0,Auto Manufacturers,Consumer Cyclical,9.404,10.07,0.049,0.03,0.15
236,NWBI,55.56,1.3,9,46.56,927,0,Banks - Regional,Financial Services,1.463,11.51,0.007,0.193,0.14
237,LBRDK,55.56,2.11,9,83.33,305,0,Telecom Services,Communication Services,8.865,62.0,0.012,0.108,0.13
238,LNN,60.98,0.2,41,43.78,2065,0,Farm & Heavy Construction Machinery,Industrials,1.344,121.82,0.001,0.937,0.11
239,LBAI,41.67,1.21,12,60.17,170,0,Banks - Regional,Financial Services,0.775,11.91,0.005,0.199,0.1
240,MCBC,40.0,1.06,15,62.8,931,0,Banks - Regional,Financial Services,0.335,9.76,0.004,0.239,0.1
241,OPK,50.0,0.71,18,74.17,50,0,Diagnostics & Research,Healthcare,0.659,0.95,0.004,0.243,0.09
242,ALHC,55.56,0.68,9,44.67,190,0,Healthcare Plans,Healthcare,1.188,6.28,0.004,0.201,0.08
243,QS,-33.33,-4.88,3,95.0,606,0,Auto Parts,Consumer Cyclical,2.957,6.04,0.016,0.032,0.05
244,FLNC,50.0,0.39,6,55.0,56,0,Utilities - Renewable,Utilities,2.574,14.41,0.002,0.109,0.02
245,IRTC,55.56,0.13,9,59.0,130,0,Medical Devices,Healthcare,3.22,105.07,0.001,0.153,0.01
