,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,87.5,22.24,32,49.81,23,3,Entertainment,Communication Services,11.732,3.05,0.195,0.642,12.5
1,ERII,76.19,18.35,21,24.57,46,3,Pollution & Treatment Controls,Industrials,0.748,13.04,0.14,0.855,11.95
2,DMRC,69.7,20.0,33,41.67,2,3,Information Technology Services,Technology,0.483,22.61,0.139,0.792,11.04
3,DENN,83.33,18.18,30,43.07,32,3,Restaurants,Consumer Cyclical,0.419,8.06,0.151,0.697,10.55
4,IART,90.32,12.64,31,38.77,23,3,Medical Devices,Healthcare,2.26,28.75,0.114,0.8,9.13
5,BF-B,90.0,8.99,30,30.0,12,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.599,47.49,0.081,1.0,8.09
6,LEG,73.02,7.21,63,43.37,9,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.814,13.56,0.053,1.453,7.65
7,BF-A,83.61,5.64,61,37.87,10,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.599,48.43,0.047,1.611,7.6
8,EQIX,80.0,14.02,30,48.9,5,3,REIT - Specialty,Real Estate,66.31,698.7,0.112,0.613,6.88
9,COLD,100.0,18.97,9,25.78,25,3,REIT - Industrial,Real Estate,6.385,22.4,0.19,0.349,6.62
10,SHC,100.0,22.43,9,31.67,12,2,Diagnostics & Research,Healthcare,3.088,10.91,0.224,0.284,6.37
11,IRON,75.0,24.3,12,40.0,7,3,Biotechnology,Healthcare,0.717,29.0,0.182,0.3,5.47
12,ARKO,100.0,14.14,12,35.25,26,3,Specialty Retail,Consumer Cyclical,0.491,4.24,0.141,0.34,4.81
13,RHI,64.15,5.74,53,45.94,1,2,Staffing & Employment Services,Industrials,7.32,69.58,0.037,1.154,4.25
14,TFX,76.32,6.48,38,44.21,25,3,Medical Instruments & Supplies,Healthcare,9.36,198.73,0.049,0.86,4.25
15,EMBC,100.0,24.73,6,37.0,33,3,Medical Instruments & Supplies,Healthcare,0.589,10.23,0.247,0.162,4.01
16,JACK,57.58,10.55,33,55.91,3,3,Restaurants,Consumer Cyclical,1.068,54.65,0.061,0.59,3.59
17,ATRC,71.43,8.8,21,53.71,4,3,Medical Instruments & Supplies,Healthcare,1.075,22.22,0.063,0.391,2.46
18,FIVE,83.33,8.72,12,37.5,3,3,Specialty Retail,Consumer Cyclical,7.925,143.47,0.073,0.32,2.33
19,SPCE,60.0,10.26,15,39.8,1,3,Aerospace & Defense,Industrials,0.363,0.88,0.062,0.377,2.32
20,TXG,100.0,25.84,3,39.0,11,3,Health Information Services,Healthcare,3.147,26.29,0.258,0.077,1.99
21,SAGE,77.78,7.66,18,57.06,2,3,Biotechnology,Healthcare,0.789,13.1,0.06,0.315,1.88
22,UNFI,66.67,4.02,39,55.69,24,3,Food Distribution,Consumer Defensive,0.559,9.41,0.027,0.7,1.88
23,COUR,100.0,26.43,3,44.0,25,3,Education & Training Services,Consumer Defensive,1.499,9.53,0.264,0.068,1.8
24,IDXX,70.59,6.34,17,51.71,1,1,Diagnostics & Research,Healthcare,39.297,475.82,0.045,0.329,1.47
25,ZIP,100.0,15.43,3,34.0,20,3,Staffing & Employment Services,Industrials,1.023,10.3,0.154,0.088,1.36
26,PACB,47.62,5.83,21,55.38,25,3,Medical Devices,Healthcare,0.479,1.76,0.028,0.379,1.05
27,FWRD,42.86,3.97,21,51.05,54,3,Integrated Freight & Logistics,Industrials,0.557,21.12,0.017,0.411,0.7
28,AMPL,-33.33,-54.53,3,89.0,15,3,Software - Application,Technology,1.202,9.87,0.182,0.034,0.61
29,VERV,-33.33,-26.97,3,46.0,2,3,Biotechnology,Healthcare,0.516,6.15,0.09,0.065,0.59
30,SAVE,55.56,2.26,18,60.17,58,3,Airlines,Industrials,0.403,3.68,0.013,0.299,0.38
31,FOXF,55.56,2.53,9,36.0,32,3,Auto Parts,Consumer Cyclical,1.655,39.42,0.014,0.25,0.35
32,FSLY,-33.33,-52.86,3,189.0,29,3,Software - Application,Technology,1.201,8.79,0.176,0.016,0.28
33,WOOF,50.0,2.78,6,63.0,3,2,Specialty Retail,Consumer Cyclical,0.423,1.57,0.014,0.095,0.13
34,SAM,56.25,0.3,32,61.31,27,3,Beverages - Brewers,Consumer Defensive,3.335,278.98,0.002,0.522,0.09
35,CMP,66.67,0.23,12,49.42,6,3,Other Industrial Metals & Mining,Basic Materials,0.525,12.71,0.002,0.243,0.04
36,CHGG,61.11,-0.15,18,57.33,11,3,Education & Training Services,Consumer Defensive,0.533,5.21,-0.001,0.314,-0.03
37,ULTA,41.67,-2.79,12,70.75,1,3,Specialty Retail,Consumer Cyclical,19.179,397.33,-0.012,0.17,-0.2
38,RPD,41.67,-2.32,12,44.25,11,3,Software - Infrastructure,Technology,2.783,44.7,-0.01,0.271,-0.26
39,CRNC,22.22,-17.41,9,87.67,39,3,Software - Application,Technology,0.406,9.74,-0.039,0.103,-0.4
40,CABA,33.33,-19.68,6,92.0,9,3,Biotechnology,Healthcare,0.608,12.6,-0.066,0.065,-0.43
41,TTEC,55.56,-3.09,36,61.58,23,3,Information Technology Services,Technology,0.357,7.53,-0.017,0.585,-1.0
