,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SBAC,84.0,31.84,25,37.6,1,3,REIT - Specialty,Real Estate,22.168,205.16,0.267,0.665,17.78
1,EXTR,92.31,15.25,39,51.28,3,3,Communication Equipment,Technology,1.63,12.66,0.141,0.761,10.71
2,NEM,75.76,8.36,66,44.86,14,3,Gold,Basic Materials,34.425,29.87,0.063,1.471,9.32
3,HUM,82.05,12.86,39,47.62,11,3,Healthcare Plans,Healthcare,42.369,351.16,0.106,0.819,8.64
4,COLB,100.0,14.92,18,33.67,5,3,Banks - Regional,Financial Services,3.704,17.76,0.149,0.535,7.98
5,WOLF,74.36,9.9,39,46.23,7,3,Semiconductors,Technology,3.214,25.55,0.074,0.844,6.21
6,GNE,95.24,11.9,21,47.14,12,3,Utilities - Regulated Electric,Utilities,0.494,18.01,0.113,0.445,5.05
7,SSRM,85.19,10.19,27,47.56,14,3,Gold,Basic Materials,0.877,4.29,0.087,0.568,4.93
8,NG,74.07,9.88,27,44.44,7,3,Gold,Basic Materials,0.786,2.33,0.073,0.608,4.45
9,MED,60.42,6.08,48,50.69,14,3,Personal Services,Consumer Cyclical,0.442,40.57,0.037,0.947,3.48
10,KW,72.22,9.92,18,41.06,1,2,Real Estate Services,Real Estate,1.173,8.44,0.072,0.438,3.14
11,PRA,80.95,5.9,21,45.43,58,3,Insurance - Property & Casualty,Financial Services,0.63,12.36,0.048,0.462,2.21
12,DCOM,80.95,4.63,21,38.95,1,2,Banks - Regional,Financial Services,0.714,18.39,0.037,0.539,2.02
13,FWRD,47.62,5.16,21,51.81,9,3,Integrated Freight & Logistics,Industrials,1.206,39.15,0.025,0.405,1.0
14,NYCB,50.0,3.26,24,47.75,2,3,Banks - Regional,Financial Services,3.278,4.54,0.016,0.503,0.82
15,IRBT,55.56,4.5,18,63.0,10,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.315,11.29,0.025,0.286,0.71
16,CRCT,100.0,8.73,3,44.0,58,3,Computer Hardware,Technology,1.048,4.78,0.087,0.068,0.6
17,SAVE,55.56,2.26,18,60.17,13,3,Airlines,Industrials,0.711,6.49,0.013,0.299,0.38
18,CNMD,52.38,0.91,42,62.79,6,3,Medical Devices,Healthcare,2.448,79.6,0.005,0.669,0.32
19,MNTK,-33.33,-37.12,3,134.0,2,3,Utilities - Diversified,Utilities,0.806,5.61,0.124,0.022,0.28
20,ADM,76.19,0.28,42,46.36,10,3,Farm Products,Consumer Defensive,28.275,53.01,0.002,0.906,0.19
21,MKTX,47.83,-0.2,23,46.09,1,2,Capital Markets,Financial Services,8.05,212.59,-0.001,0.499,-0.05
22,MDRX,55.56,-0.23,36,63.42,44,3,Health Information Services,Healthcare,0.744,6.81,-0.001,0.568,-0.07
23,IRDM,16.67,-7.2,12,72.5,1,1,Telecom Services,Communication Services,3.528,28.81,-0.012,0.166,-0.2
24,TMP,25.0,-20.72,12,148.0,14,3,Banks - Regional,Financial Services,0.68,47.53,-0.052,0.081,-0.42
25,ATSG,37.5,-10.64,24,77.5,2,1,Airlines,Industrials,0.795,12.19,-0.04,0.31,-1.24
