,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,LEGH,100.0,30.65,12,26.0,75,0,Residential Construction,Consumer Cyclical,0.483,19.78,0.306,0.462,14.15
1,SIRI,87.5,22.24,32,49.81,184,0,Entertainment,Communication Services,14.909,3.88,0.195,0.642,12.5
2,AXGN,66.67,37.21,18,40.89,85,0,Medical Devices,Healthcare,0.318,7.35,0.248,0.44,10.92
3,TCPC,100.0,28.01,10,29.4,76,0,Asset Management,Financial Services,0.847,9.9,0.28,0.34,9.53
4,GL,100.0,10.12,33,36.18,976,0,Insurance - Life,Financial Services,10.858,115.47,0.101,0.912,9.23
5,IART,90.32,12.64,31,38.77,67,0,Medical Devices,Healthcare,2.641,33.76,0.114,0.8,9.13
6,BF-B,90.0,8.99,30,30.0,1412,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.236,50.9,0.081,1.0,8.09
7,BF-A,83.61,5.61,61,37.97,74,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.2,51.99,0.047,1.607,7.54
8,SHC,100.0,22.43,9,31.67,68,0,Diagnostics & Research,Healthcare,3.196,11.3,0.224,0.284,6.37
9,HHH,80.95,13.69,21,41.29,68,0,Real Estate - Diversified,Real Estate,3.569,71.01,0.111,0.509,5.64
10,ARKO,100.0,14.14,12,35.25,494,0,Specialty Retail,Consumer Cyclical,0.69,5.75,0.141,0.34,4.81
11,X,66.1,5.29,59,44.0,407,0,Steel,Basic Materials,8.916,39.66,0.035,1.341,4.69
12,CTSH,88.89,14.49,18,50.78,323,0,Information Technology Services,Technology,35.795,71.9,0.129,0.354,4.57
13,JACK,57.58,10.55,33,55.91,76,0,Restaurants,Consumer Cyclical,1.315,67.3,0.061,0.59,3.59
14,HAIN,75.76,7.21,33,54.03,92,0,Packaged Foods,Consumer Defensive,0.728,8.1,0.055,0.611,3.34
15,SIBN,100.0,30.55,3,29.0,60,0,Medical Devices,Healthcare,0.626,15.25,0.306,0.103,3.16
16,TBBK,61.11,14.74,18,53.67,955,0,Banks - Regional,Financial Services,1.651,31.3,0.09,0.335,3.02
17,MEI,64.1,5.3,39,50.15,73,0,Electronic Components,Technology,0.426,12.04,0.034,0.778,2.64
18,ACAD,58.33,7.95,36,63.69,600,0,Biotechnology,Healthcare,2.958,17.95,0.046,0.565,2.62
19,ATRC,71.43,8.8,21,53.71,331,0,Medical Instruments & Supplies,Healthcare,1.355,28.47,0.063,0.391,2.46
20,TNGX,100.0,81.27,3,104.0,156,0,Biotechnology,Healthcare,0.825,7.73,0.813,0.029,2.34
21,FIVE,83.33,8.72,12,37.5,92,0,Specialty Retail,Consumer Cyclical,9.445,170.99,0.073,0.32,2.33
22,COUR,100.0,26.43,3,44.0,333,0,Education & Training Services,Consumer Defensive,2.189,13.95,0.264,0.068,1.8
23,TWKS,100.0,7.02,9,57.44,64,0,Information Technology Services,Technology,0.739,2.29,0.07,0.157,1.1
24,DNB,100.0,8.89,4,42.5,169,0,Financial Data & Stock Exchanges,Financial Services,4.107,9.36,0.089,0.094,0.84
25,HRZN,66.67,4.06,9,48.67,415,0,Asset Management,Financial Services,0.374,11.21,0.027,0.185,0.5
26,UA,73.33,2.26,15,50.6,493,0,Apparel Manufacturing,Consumer Cyclical,3.057,6.89,0.017,0.296,0.49
27,ZTS,33.33,-0.87,6,71.0,70,0,Drug Manufacturers - Specialty & Generic,Healthcare,77.334,168.9,-0.003,0.085,-0.02
28,PANL,33.33,-7.53,6,84.5,1513,0,Marine Shipping,Industrials,0.321,6.86,-0.025,0.071,-0.18
29,PRFT,56.52,-2.04,23,63.87,79,0,Information Technology Services,Technology,1.984,56.76,-0.012,0.36,-0.42
30,CABA,33.33,-19.68,6,92.0,418,0,Biotechnology,Healthcare,0.837,17.35,-0.066,0.065,-0.43
31,CCOI,33.33,-10.64,18,73.33,2117,0,Telecom Services,Communication Services,2.973,62.68,-0.035,0.245,-0.87
32,TTEC,55.56,-3.09,36,61.58,56,0,Information Technology Services,Technology,0.473,9.98,-0.017,0.585,-1.0
33,MODV,55.56,-12.24,18,53.0,168,0,Medical Care Facilities,Healthcare,0.353,24.86,-0.068,0.34,-2.31
