,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,84.38,20.88,32,48.22,24,3,Entertainment,Communication Services,12.001,3.12,0.176,0.664,11.69
1,DENN,80.0,17.67,30,40.97,33,3,Restaurants,Consumer Cyclical,0.421,8.09,0.141,0.732,10.35
2,IART,90.32,13.43,31,37.23,24,3,Medical Devices,Healthcare,2.271,28.89,0.121,0.833,10.1
3,EQIX,80.0,19.33,30,47.3,6,3,REIT - Specialty,Real Estate,66.415,699.81,0.155,0.634,9.81
4,ARVN,100.0,32.87,9,32.33,1,1,Biotechnology,Healthcare,2.242,32.82,0.329,0.278,9.15
5,BF-B,90.0,8.92,30,28.8,13,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.801,47.92,0.08,1.042,8.36
6,BF-A,84.13,5.25,63,35.46,11,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.801,48.85,0.044,1.777,7.85
7,LEG,73.02,6.67,63,42.17,10,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.867,13.95,0.049,1.494,7.28
8,ATXS,86.67,28.41,15,51.8,1,1,Biotechnology,Healthcare,0.524,9.55,0.246,0.29,7.13
9,SHC,100.0,20.52,9,31.0,13,2,Diagnostics & Research,Healthcare,3.119,11.02,0.205,0.29,5.96
10,GILD,66.67,16.77,18,42.0,1,1,Drug Manufacturers - General,Healthcare,80.779,64.78,0.112,0.429,4.79
11,IRON,75.0,20.65,12,39.75,8,3,Biotechnology,Healthcare,0.736,29.79,0.155,0.302,4.68
12,CTSH,88.89,14.49,18,50.78,1,1,Information Technology Services,Technology,32.939,66.25,0.129,0.354,4.57
13,ARKO,100.0,13.19,12,34.75,27,3,Specialty Retail,Consumer Cyclical,0.494,4.27,0.132,0.345,4.55
14,FLYW,100.0,65.72,3,45.0,1,1,Software - Infrastructure,Technology,2.459,19.81,0.657,0.067,4.38
15,TFX,76.32,6.48,38,44.21,26,3,Medical Instruments & Supplies,Healthcare,9.562,203.01,0.049,0.86,4.25
16,EMBC,100.0,24.73,6,37.0,34,3,Medical Instruments & Supplies,Healthcare,0.584,10.15,0.247,0.162,4.01
17,RHI,65.45,4.62,55,43.27,1,3,Staffing & Employment Services,Industrials,7.362,70.16,0.03,1.271,3.84
18,JACK,57.58,10.55,33,55.91,4,3,Restaurants,Consumer Cyclical,1.079,55.23,0.061,0.59,3.59
19,SIBN,100.0,30.55,3,29.0,24,2,Medical Devices,Healthcare,0.585,14.2,0.306,0.103,3.16
20,VIAV,63.64,5.89,33,44.39,1,1,Communication Equipment,Technology,1.683,7.56,0.037,0.743,2.79
21,PZZA,62.07,6.47,29,42.28,1,1,Restaurants,Consumer Cyclical,1.943,58.98,0.04,0.686,2.75
22,ATRC,71.43,8.8,21,53.71,5,3,Medical Instruments & Supplies,Healthcare,1.011,20.89,0.063,0.391,2.46
23,FIVE,83.33,8.72,12,37.5,4,3,Specialty Retail,Consumer Cyclical,7.992,144.81,0.073,0.32,2.33
24,TXG,100.0,25.84,3,39.0,12,3,Health Information Services,Healthcare,3.29,27.48,0.258,0.077,1.99
25,COUR,100.0,26.43,3,44.0,26,3,Education & Training Services,Consumer Defensive,1.5,9.61,0.264,0.068,1.8
26,VERV,100.0,22.48,3,40.0,3,3,Biotechnology,Healthcare,0.538,6.41,0.225,0.075,1.69
27,IDXX,70.59,6.34,17,51.71,1,2,Diagnostics & Research,Healthcare,39.691,480.6,0.045,0.329,1.47
28,ZIP,100.0,15.43,3,34.0,21,3,Staffing & Employment Services,Industrials,1.026,10.33,0.154,0.088,1.36
29,TWKS,100.0,7.02,9,57.44,26,3,Information Technology Services,Technology,0.726,2.25,0.07,0.157,1.1
30,DOCS,100.0,13.05,3,46.0,1,1,Health Information Services,Healthcare,4.494,24.09,0.13,0.065,0.85
31,PACB,47.62,4.15,21,54.95,26,3,Medical Devices,Healthcare,0.498,1.83,0.02,0.382,0.76
32,FWRD,42.86,3.97,21,51.05,55,3,Integrated Freight & Logistics,Industrials,0.574,21.78,0.017,0.411,0.7
33,FSLY,-33.33,-52.86,3,189.0,30,3,Software - Application,Technology,1.159,8.48,0.176,0.016,0.28
34,WOOF,50.0,2.78,6,63.0,4,2,Specialty Retail,Consumer Cyclical,0.418,1.55,0.014,0.095,0.13
35,SAM,56.25,0.3,32,61.31,28,3,Beverages - Brewers,Consumer Defensive,3.315,277.28,0.002,0.522,0.09
36,CMP,66.67,0.23,12,49.42,7,3,Other Industrial Metals & Mining,Basic Materials,0.527,12.75,0.002,0.243,0.04
37,CHGG,61.11,-0.15,18,57.33,12,3,Education & Training Services,Consumer Defensive,0.536,5.24,-0.001,0.314,-0.03
38,ULTA,41.67,-2.79,12,70.75,2,3,Specialty Retail,Consumer Cyclical,19.182,397.39,-0.012,0.17,-0.2
39,RPD,41.67,-2.32,12,44.25,12,3,Software - Infrastructure,Technology,2.815,45.21,-0.01,0.271,-0.26
40,SAVE,55.56,-1.67,18,60.0,59,3,Airlines,Industrials,0.406,3.71,-0.009,0.3,-0.28
41,CABA,33.33,-15.92,6,86.5,10,3,Biotechnology,Healthcare,0.598,12.39,-0.053,0.069,-0.37
42,CRNC,22.22,-17.41,9,87.67,40,3,Software - Application,Technology,0.423,10.15,-0.039,0.103,-0.4
43,TTEC,55.56,-2.7,36,60.42,24,3,Information Technology Services,Technology,0.363,7.66,-0.015,0.596,-0.89
