,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,LEGH,100.0,30.65,12,26.0,74,0,Residential Construction,Consumer Cyclical,0.509,20.86,0.306,0.462,14.15
1,SIRI,87.5,22.24,32,49.81,183,0,Entertainment,Communication Services,14.909,3.88,0.195,0.642,12.5
2,AXGN,66.67,37.21,18,40.89,84,0,Medical Devices,Healthcare,0.331,7.67,0.248,0.44,10.92
3,IART,90.32,12.64,31,38.77,66,0,Medical Devices,Healthcare,2.693,34.43,0.114,0.8,9.13
4,BF-A,83.61,5.64,61,37.87,73,0,Beverages - Wineries & Distilleries,Consumer Defensive,24.609,52.87,0.047,1.611,7.6
5,SHC,100.0,22.43,9,31.67,67,0,Diagnostics & Research,Healthcare,3.264,11.54,0.224,0.284,6.37
6,IVVD,100.0,27.05,9,39.0,201,0,Biotechnology,Healthcare,0.367,3.09,0.27,0.231,6.24
7,X,66.1,5.29,59,44.0,406,0,Steel,Basic Materials,9.004,40.05,0.035,1.341,4.69
8,CTSH,88.89,14.49,18,50.78,322,0,Information Technology Services,Technology,36.133,72.58,0.129,0.354,4.57
9,SIBN,100.0,30.55,3,29.0,59,0,Medical Devices,Healthcare,0.645,15.7,0.306,0.103,3.16
10,TBBK,61.11,14.74,18,53.67,954,0,Banks - Regional,Financial Services,1.694,32.12,0.09,0.335,3.02
11,MEI,64.1,5.3,39,49.92,72,0,Electronic Components,Technology,0.427,12.07,0.034,0.781,2.65
12,ACAD,58.33,7.95,36,63.69,599,0,Biotechnology,Healthcare,3.033,18.41,0.046,0.565,2.62
13,TNGX,100.0,81.27,3,104.0,155,0,Biotechnology,Healthcare,0.877,8.22,0.813,0.029,2.34
14,TWKS,100.0,7.02,9,57.44,63,0,Information Technology Services,Technology,0.778,2.41,0.07,0.157,1.1
15,DNB,100.0,8.89,4,42.5,168,0,Financial Data & Stock Exchanges,Financial Services,4.239,9.66,0.089,0.094,0.84
16,CNXC,-16.67,-17.38,6,85.0,105,0,Information Technology Services,Technology,4.173,62.94,0.029,0.071,0.2
17,ZTS,33.33,-0.87,6,71.0,69,0,Drug Manufacturers - Specialty & Generic,Healthcare,77.068,168.32,-0.003,0.085,-0.02
18,CCOI,33.33,-10.64,18,73.33,2116,0,Telecom Services,Communication Services,2.974,62.7,-0.035,0.245,-0.87
19,TTEC,55.56,-3.09,36,61.58,55,0,Information Technology Services,Technology,0.489,10.3,-0.017,0.585,-1.0
