,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,DENN,83.33,18.18,30,43.07,5,3,Restaurants,Consumer Cyclical,0.447,8.55,0.151,0.697,10.55
1,XMTR,100.0,38.09,6,40.5,1,1,Specialty Industrial Machinery,Industrials,0.794,16.35,0.381,0.148,5.64
2,GNE,95.24,12.06,21,47.0,26,3,Utilities - Regulated Electric,Utilities,0.406,14.85,0.115,0.447,5.13
3,ARKO,100.0,14.14,12,35.25,1,1,Specialty Retail,Consumer Cyclical,0.679,5.66,0.141,0.34,4.81
4,SSRM,72.0,6.07,25,45.4,32,3,Gold,Basic Materials,0.81,4.0,0.044,0.551,2.41
5,IAS,100.0,7.07,6,46.5,1,3,Advertising Agencies,Communication Services,1.49,9.34,0.071,0.129,0.91
6,MNTK,-33.33,-37.12,3,134.0,20,3,Utilities - Diversified,Utilities,0.542,3.77,0.124,0.022,0.28
7,AGL,16.67,0.57,6,50.0,78,3,Medical Care Facilities,Healthcare,1.949,4.76,0.001,0.12,0.01
8,IRWD,12.5,-4.98,8,46.62,1,1,Drug Manufacturers - Specialty & Generic,Healthcare,1.316,8.41,-0.006,0.172,-0.11
9,IRDM,25.0,-5.69,12,66.5,14,3,Telecom Services,Communication Services,3.138,25.63,-0.014,0.18,-0.26
10,AEHR,51.85,-1.71,27,73.19,33,3,Semiconductor Equipment & Materials,Technology,0.328,11.37,-0.009,0.369,-0.33
