,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,HA,100.0,39.5,21,35.38,104,0,Airlines,Industrials,0.649,12.51,0.395,0.594,23.45
1,MCS,94.74,12.96,57,30.11,190,0,Entertainment,Communication Services,0.383,11.91,0.123,1.893,23.24
2,INDV,80.0,85.94,15,46.6,250,0,Drug Manufacturers - Specialty & Generic,Healthcare,2.444,17.95,0.688,0.322,22.13
3,TNC,78.57,10.95,84,33.85,445,0,Specialty Industrial Machinery,Industrials,2.033,106.97,0.086,2.482,21.35
4,STKL,78.95,17.76,57,39.33,114,0,Packaged Foods,Consumer Defensive,0.651,5.61,0.14,1.449,20.32
5,ATNI,100.0,14.66,41,30.0,131,0,Telecom Services,Communication Services,0.334,21.62,0.147,1.367,20.04
6,EXEL,85.42,18.24,48,41.4,359,0,Biotechnology,Healthcare,6.379,21.9,0.156,1.159,18.06
7,MAS,87.88,20.3,33,35.7,477,0,Building Products & Equipment,Industrials,15.32,69.56,0.178,0.924,16.49
8,ILMN,79.49,21.81,39,41.56,96,0,Diagnostics & Research,Healthcare,18.781,117.93,0.173,0.938,16.27
9,CAT,90.79,9.18,76,42.28,423,0,Farm & Heavy Construction Machinery,Industrials,164.689,336.75,0.083,1.798,14.98
10,AKRO,100.0,34.26,12,28.25,96,0,Biotechnology,Healthcare,1.36,19.66,0.343,0.425,14.55
11,MCFT,100.0,44.0,12,37.0,85,0,Recreational Vehicles,Consumer Cyclical,0.342,20.05,0.44,0.324,14.27
12,HAL,81.48,12.63,54,39.2,418,0,Oil & Gas Equipment & Services,Energy,32.517,36.73,0.103,1.378,14.18
13,MRO,79.66,12.05,59,41.29,417,0,Oil & Gas E&P,Energy,14.857,26.34,0.096,1.429,13.72
14,SGRY,88.89,36.78,18,45.67,105,0,Medical Care Facilities,Healthcare,3.118,24.53,0.327,0.394,12.89
15,CWH,75.0,63.58,12,44.5,99,0,Auto & Truck Dealerships,Consumer Cyclical,0.906,20.1,0.477,0.27,12.86
16,CBRL,87.27,10.49,55,39.8,114,0,Restaurants,Consumer Cyclical,1.246,56.11,0.092,1.382,12.65
17,MPC,94.44,24.2,18,32.67,984,0,Oil & Gas Refining & Marketing,Energy,64.318,182.55,0.229,0.551,12.59
18,TDS,83.08,8.06,65,35.6,204,0,Telecom Services,Communication Services,1.623,14.36,0.067,1.826,12.23
19,LAD,84.62,14.1,39,38.77,100,0,Auto & Truck Dealerships,Consumer Cyclical,6.947,253.48,0.119,1.006,12.0
20,BEN,92.86,10.3,42,33.76,98,0,Asset Management,Financial Services,12.302,23.38,0.096,1.244,11.9
21,AGYS,67.86,10.8,56,34.68,984,0,Software - Application,Technology,2.167,79.21,0.073,1.615,11.83
22,MIDD,84.62,13.17,39,37.54,104,0,Specialty Industrial Machinery,Industrials,7.531,140.08,0.111,1.039,11.58
23,CZR,100.0,39.81,12,42.0,104,0,Resorts & Casinos,Consumer Cyclical,7.633,35.33,0.398,0.286,11.37
24,DXC,83.33,11.03,54,44.33,141,0,Information Technology Services,Technology,3.504,19.16,0.092,1.218,11.2
25,APA,71.79,17.93,39,45.08,17,0,Oil & Gas E&P,Energy,10.861,29.26,0.129,0.865,11.14
26,OXY,73.17,13.8,41,38.32,865,0,Oil & Gas E&P,Energy,57.079,64.39,0.101,1.07,10.8
27,APPN,100.0,43.11,6,24.5,722,0,Software - Infrastructure,Technology,2.31,31.98,0.431,0.245,10.56
28,SIGI,92.31,8.91,39,30.77,1075,0,Insurance - Property & Casualty,Financial Services,5.861,96.41,0.082,1.267,10.42
29,MUR,66.67,11.39,63,45.9,864,0,Oil & Gas E&P,Energy,6.736,44.15,0.076,1.373,10.42
30,NTGR,88.89,15.44,36,47.56,199,0,Communication Equipment,Technology,0.338,11.63,0.137,0.757,10.39
31,ALGN,86.67,16.1,30,41.13,96,0,Medical Devices,Healthcare,21.671,287.87,0.14,0.729,10.18
32,DFH,100.0,26.37,6,15.67,109,0,Residential Construction,Consumer Cyclical,2.927,31.23,0.264,0.383,10.1
33,HZO,76.92,13.95,39,41.82,1709,0,Specialty Retail,Consumer Cyclical,0.576,25.81,0.107,0.933,10.01
34,HST,87.5,8.65,48,37.44,983,0,REIT - Hotel & Motel,Real Estate,13.335,18.65,0.076,1.282,9.7
35,AKAM,73.33,12.76,45,43.93,266,0,Software - Infrastructure,Technology,15.271,99.67,0.094,1.024,9.58
36,WHR,76.47,8.2,68,44.82,1002,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,5.221,95.56,0.063,1.517,9.51
37,ASTE,83.33,9.28,48,40.29,85,0,Farm & Heavy Construction Machinery,Industrials,0.737,32.38,0.077,1.191,9.21
38,DRI,89.66,10.8,29,31.14,124,0,Restaurants,Consumer Cyclical,17.814,149.25,0.097,0.931,9.02
39,COO,64.91,10.11,57,41.89,108,0,Medical Instruments & Supplies,Healthcare,18.015,90.64,0.066,1.361,8.93
40,ACHC,73.91,16.79,23,32.22,1166,0,Medical Care Facilities,Healthcare,6.134,66.12,0.124,0.714,8.86
41,WNC,62.5,18.1,48,61.4,991,0,Farm & Heavy Construction Machinery,Industrials,1.054,23.34,0.113,0.782,8.84
42,ITW,88.37,8.34,43,35.95,492,0,Specialty Industrial Machinery,Industrials,72.786,243.92,0.074,1.196,8.82
43,CLF,70.51,7.32,78,46.08,429,0,Steel,Basic Materials,8.368,17.6,0.052,1.693,8.74
44,TBI,74.36,13.4,39,45.54,1005,0,Staffing & Employment Services,Industrials,0.332,10.57,0.1,0.856,8.53
45,PENN,82.14,12.14,28,33.64,545,0,Resorts & Casinos,Consumer Cyclical,2.306,15.12,0.1,0.832,8.3
46,WTI,79.41,13.74,34,45.24,649,0,Oil & Gas E&P,Energy,0.342,2.33,0.109,0.752,8.2
47,IQV,100.0,24.13,9,27.0,105,0,Diagnostics & Research,Healthcare,40.698,223.37,0.241,0.333,8.04
48,BC,72.73,12.49,44,49.7,991,0,Recreational Vehicles,Consumer Cyclical,5.495,81.33,0.091,0.885,8.04
49,FFIV,72.22,15.85,36,51.61,429,0,Software - Infrastructure,Technology,9.726,165.94,0.114,0.698,7.98
50,IFN,92.31,8.92,39,41.18,369,0,Asset Management,Financial Services,0.561,18.08,0.082,0.947,7.8
51,FAST,85.19,11.16,27,33.52,534,0,Industrial Distribution,Industrials,39.179,68.43,0.095,0.805,7.66
52,XRX,80.95,7.04,63,46.92,949,0,Information Technology Services,Technology,1.659,13.36,0.057,1.343,7.65
53,ADSK,87.5,10.3,32,37.78,624,0,Software - Application,Technology,46.032,215.19,0.09,0.847,7.63
54,HVT,73.91,6.11,69,41.1,209,0,Home Improvement Retail,Consumer Cyclical,0.466,28.71,0.045,1.679,7.58
55,HI,90.91,10.38,33,41.36,96,0,Specialty Industrial Machinery,Industrials,2.979,42.44,0.094,0.798,7.53
56,MANH,72.22,11.92,36,41.47,315,0,Software - Application,Technology,12.976,210.76,0.086,0.868,7.47
57,CMI,70.27,6.43,74,46.07,574,0,Specialty Industrial Machinery,Industrials,38.4,280.74,0.045,1.606,7.26
58,BRSP,100.0,31.85,9,39.67,984,0,REIT - Mortgage,Real Estate,0.786,6.02,0.318,0.227,7.23
59,NVEC,77.78,13.7,27,40.3,476,0,Semiconductors,Technology,0.352,72.8,0.107,0.67,7.14
60,IT,96.3,11.98,27,44.07,1001,0,Information Technology Services,Technology,33.276,428.64,0.115,0.613,7.07
61,UIS,67.74,5.72,93,51.32,309,0,Information Technology Services,Technology,0.351,5.08,0.039,1.812,7.02
62,NCLH,93.33,19.97,15,39.8,428,0,Travel Services,Consumer Cyclical,6.86,15.99,0.186,0.377,7.02
63,GGG,75.47,6.63,53,38.21,3147,0,Specialty Industrial Machinery,Industrials,13.889,82.12,0.05,1.387,6.94
64,CBRE,100.0,18.68,19,51.11,105,0,Real Estate Services,Real Estate,26.585,86.61,0.187,0.372,6.94
65,HOG,85.29,10.27,34,42.97,96,0,Recreational Vehicles,Consumer Cyclical,4.715,35.05,0.088,0.791,6.93
66,RYI,83.33,36.28,12,52.5,102,0,Metal Fabrication,Industrials,0.784,22.84,0.302,0.229,6.91
67,ALG,89.19,7.94,37,38.05,442,0,Farm & Heavy Construction Machinery,Industrials,2.322,193.97,0.071,0.972,6.89
68,ROST,77.78,7.12,54,43.39,514,0,Apparel Retail,Consumer Cyclical,43.872,130.84,0.055,1.245,6.89
69,HP,67.92,8.37,53,44.32,985,0,Oil & Gas Drilling,Energy,3.802,38.47,0.057,1.196,6.8
70,HCKT,77.78,15.18,27,47.33,233,0,Information Technology Services,Technology,0.611,22.14,0.118,0.57,6.74
71,MAR,100.0,15.24,20,45.5,980,0,Lodging,Consumer Cyclical,67.004,234.59,0.152,0.44,6.7
72,CHUY,100.0,15.73,15,35.6,1005,0,Restaurants,Consumer Cyclical,0.505,29.13,0.157,0.421,6.63
73,HURN,86.67,16.38,15,32.4,1657,0,Consulting Services,Industrials,1.554,86.32,0.142,0.463,6.57
74,MTN,85.71,16.44,21,45.48,991,0,Resorts & Casinos,Consumer Cyclical,7.405,195.02,0.141,0.462,6.51
75,ASIX,100.0,25.05,12,46.17,91,0,Chemicals,Basic Materials,0.593,22.13,0.25,0.26,6.51
76,HEES,77.78,14.94,27,48.26,211,0,Rental & Leasing Services,Industrials,1.704,46.65,0.116,0.559,6.5
77,SWKS,69.23,11.79,39,49.05,986,0,Semiconductors,Technology,14.843,92.51,0.082,0.795,6.49
78,PRO,80.95,12.82,21,34.67,617,0,Software - Application,Technology,1.545,32.89,0.104,0.606,6.29
79,WY,77.27,8.45,44,45.7,104,0,REIT - Specialty,Real Estate,22.665,31.09,0.065,0.963,6.29
80,DASH,100.0,39.46,3,19.0,369,0,Internet Content & Information,Communication Services,46.538,113.81,0.395,0.158,6.23
81,JBL,74.36,9.48,39,44.69,984,0,Electronic Components,Technology,14.136,117.22,0.07,0.873,6.15
82,DRQ,70.37,11.74,27,37.78,861,0,Oil & Gas Equipment & Services,Energy,0.64,18.6,0.083,0.715,5.9
83,CODI,83.33,19.36,12,33.08,378,0,Conglomerates,Industrials,1.634,21.68,0.161,0.363,5.85
84,GPRE,69.7,12.9,33,50.91,49,0,Chemicals,Basic Materials,1.304,20.17,0.09,0.648,5.83
85,JBHT,84.0,10.47,25,37.84,437,0,Integrated Freight & Logistics,Industrials,17.089,165.6,0.088,0.661,5.81
86,RES,72.58,6.05,62,46.95,57,0,Oil & Gas Equipment & Services,Energy,1.451,6.77,0.044,1.321,5.8
87,BILL,100.0,19.57,6,20.5,85,0,Software - Application,Technology,5.949,56.58,0.196,0.293,5.73
88,AVNW,75.0,9.33,48,58.69,1000,0,Communication Equipment,Technology,0.375,29.91,0.07,0.818,5.72
89,MSM,81.58,7.86,38,42.61,1006,0,Industrial Distribution,Industrials,5.158,91.62,0.064,0.892,5.72
90,HPK,100.0,28.4,9,46.33,182,0,Oil & Gas E&P,Energy,1.818,14.22,0.284,0.194,5.52
91,MYRG,83.33,11.63,24,42.21,1005,0,Engineering & Construction,Industrials,2.413,143.92,0.097,0.569,5.51
92,FORR,87.5,8.06,24,30.83,1003,0,Consulting Services,Industrials,0.348,18.19,0.071,0.778,5.49
93,GDEN,66.67,12.36,33,49.73,109,0,Resorts & Casinos,Consumer Cyclical,0.899,31.04,0.082,0.664,5.47
94,SWK,75.0,7.56,44,45.57,355,0,Tools & Accessories,Industrials,13.203,85.8,0.057,0.966,5.47
95,ODFL,100.0,14.14,15,39.2,1311,0,Trucking,Industrials,40.269,185.06,0.141,0.383,5.41
96,SSYS,82.93,9.56,41,60.46,89,0,Computer Hardware,Technology,0.678,9.72,0.079,0.678,5.38
97,GWW,82.0,5.62,50,43.38,1008,0,Industrial Distribution,Industrials,45.789,931.94,0.046,1.153,5.31
98,CLDT,85.71,11.88,21,40.43,198,0,REIT - Hotel & Motel,Real Estate,0.464,9.18,0.102,0.519,5.29
99,USAC,86.67,18.49,15,46.0,992,0,Oil & Gas Equipment & Services,Energy,2.508,24.35,0.16,0.326,5.23
100,BLMN,88.89,22.26,9,34.33,1001,0,Restaurants,Consumer Cyclical,2.23,25.61,0.198,0.262,5.19
101,ALLO,100.0,26.54,9,46.67,85,0,Biotechnology,Healthcare,0.524,3.07,0.265,0.193,5.12
102,PCAR,68.29,7.14,41,39.56,1002,0,Farm & Heavy Construction Machinery,Industrials,54.917,104.78,0.049,1.036,5.05
103,WEAV,100.0,43.7,3,26.0,105,0,Health Information Services,Healthcare,0.591,8.32,0.437,0.115,5.04
104,DLTR,76.67,8.75,30,40.03,105,0,Discount Stores,Consumer Defensive,26.317,120.73,0.067,0.749,5.03
105,DRH,100.0,12.21,14,34.07,1318,0,REIT - Hotel & Motel,Real Estate,1.864,8.83,0.122,0.411,5.02
106,ARI,75.0,24.58,12,44.25,573,0,REIT - Mortgage,Real Estate,1.429,10.05,0.184,0.271,5.0
107,ZG,83.33,16.18,18,48.72,97,0,Internet Content & Information,Communication Services,9.572,40.07,0.135,0.369,4.98
108,WALD,66.67,19.87,6,16.0,177,0,Software - Application,Technology,0.618,5.06,0.132,0.375,4.97
109,AME,84.21,6.07,38,39.11,117,0,Specialty Industrial Machinery,Industrials,38.554,166.56,0.051,0.972,4.97
110,TRMB,70.18,6.17,57,50.07,359,0,Scientific & Technical Instruments,Technology,13.659,55.93,0.043,1.138,4.93
111,PLAY,100.0,15.76,12,39.75,985,0,Entertainment,Communication Services,2.129,52.82,0.158,0.302,4.76
112,GEN,74.29,9.65,35,53.03,115,0,Software - Infrastructure,Technology,12.757,20.03,0.072,0.66,4.73
113,KMX,64.58,8.64,48,56.77,96,0,Auto & Truck Dealerships,Consumer Cyclical,10.814,68.71,0.056,0.846,4.72
114,BYD,73.58,6.39,53,52.91,84,0,Resorts & Casinos,Consumer Cyclical,5.181,54.12,0.047,1.002,4.71
115,DAY,100.0,49.79,3,32.0,994,0,Software - Application,Technology,9.046,57.29,0.498,0.094,4.67
