,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,87.5,22.24,32,49.81,20,3,Entertainment,Communication Services,12.193,3.17,0.195,0.642,12.5
1,DMRC,69.7,20.0,33,41.67,1,1,Information Technology Services,Technology,0.466,21.82,0.139,0.792,11.04
2,IART,90.32,12.64,31,38.77,20,3,Medical Devices,Healthcare,2.298,29.24,0.114,0.8,9.13
3,BF-A,88.52,5.92,61,35.51,7,3,Beverages - Wineries & Distilleries,Consumer Defensive,23.224,49.97,0.052,1.718,9.0
4,ZD,85.71,19.67,21,39.62,1,2,Advertising Agencies,Communication Services,2.35,50.95,0.169,0.53,8.94
5,HUM,84.62,11.83,39,46.62,53,3,Healthcare Plans,Healthcare,36.53,303.15,0.1,0.837,8.37
6,BF-B,90.0,8.99,30,30.0,9,3,Beverages - Wineries & Distilleries,Consumer Defensive,23.224,48.69,0.081,1.0,8.09
7,ADBE,70.83,12.04,48,50.85,10,3,Software - Infrastructure,Technology,211.935,473.07,0.085,0.944,8.05
8,EQIX,80.0,14.02,30,48.9,2,3,REIT - Specialty,Real Estate,68.933,726.34,0.112,0.613,6.88
9,COLD,100.0,18.97,9,25.78,22,3,REIT - Industrial,Real Estate,6.382,22.39,0.19,0.349,6.62
10,CAR,73.68,7.3,57,48.07,36,3,Rental & Leasing Services,Industrials,3.692,103.56,0.054,1.186,6.38
11,QDEL,65.91,11.0,44,52.89,34,3,Medical Devices,Healthcare,2.632,39.36,0.073,0.832,6.03
12,IRON,75.0,24.3,12,40.0,4,3,Biotechnology,Healthcare,0.698,28.29,0.182,0.3,5.47
13,ARKO,100.0,14.14,12,35.25,23,3,Specialty Retail,Consumer Cyclical,0.537,4.64,0.141,0.34,4.81
14,EMBC,100.0,24.73,6,37.0,30,3,Medical Instruments & Supplies,Healthcare,0.601,10.44,0.247,0.162,4.01
15,JACK,57.58,10.55,33,55.91,1,2,Restaurants,Consumer Cyclical,1.133,57.99,0.061,0.59,3.59
16,NRC,100.0,17.8,6,31.0,1,1,Health Information Services,Healthcare,0.819,34.3,0.178,0.194,3.45
17,HAIN,75.76,7.21,33,54.03,3,3,Packaged Foods,Consumer Defensive,0.563,6.27,0.055,0.611,3.34
18,BIGC,100.0,36.87,3,35.0,1,1,Software - Application,Technology,0.448,5.83,0.369,0.086,3.16
19,SIBN,100.0,30.55,3,29.0,20,2,Medical Devices,Healthcare,0.602,14.65,0.306,0.103,3.16
20,TBBK,61.11,14.74,18,53.67,16,3,Banks - Regional,Financial Services,1.626,31.11,0.09,0.335,3.02
21,LNZA,100.0,58.84,3,66.0,35,3,Waste Management,Industrials,0.439,2.22,0.588,0.045,2.67
22,ACAD,58.33,7.95,36,63.69,17,3,Biotechnology,Healthcare,2.825,17.1,0.046,0.565,2.62
23,ATRC,71.43,8.8,21,53.71,1,3,Medical Instruments & Supplies,Healthcare,1.131,23.37,0.063,0.391,2.46
24,FIVE,83.33,8.72,12,37.5,1,2,Specialty Retail,Consumer Cyclical,8.132,147.22,0.073,0.32,2.33
25,GSHD,100.0,45.11,3,64.0,3,3,Insurance - Diversified,Financial Services,2.159,56.85,0.451,0.047,2.11
26,CHPT,100.0,28.63,4,55.25,145,3,Specialty Retail,Consumer Cyclical,0.563,1.33,0.286,0.072,2.07
27,TXG,100.0,25.84,3,39.0,8,3,Health Information Services,Healthcare,3.4,28.4,0.258,0.077,1.99
28,UNFI,66.67,4.02,39,55.69,21,3,Food Distribution,Consumer Defensive,0.55,9.26,0.027,0.7,1.88
29,SAGE,77.78,7.66,18,57.06,1,1,Biotechnology,Healthcare,0.853,14.18,0.06,0.315,1.88
30,COUR,100.0,26.43,3,44.0,22,3,Education & Training Services,Consumer Defensive,1.871,11.89,0.264,0.068,1.8
31,ZIP,100.0,15.43,3,34.0,17,3,Staffing & Employment Services,Industrials,1.037,10.44,0.154,0.088,1.36
32,PACB,47.62,5.83,21,55.38,22,3,Medical Devices,Healthcare,0.429,1.6,0.028,0.379,1.05
33,NYCB,50.0,3.26,24,47.75,44,3,Banks - Regional,Financial Services,2.244,2.79,0.016,0.503,0.82
34,AMSF,100.0,6.37,3,27.0,1,2,Insurance - Specialty,Financial Services,0.861,44.98,0.064,0.111,0.71
35,FWRD,42.86,3.97,21,51.05,51,3,Integrated Freight & Logistics,Industrials,0.594,22.52,0.017,0.411,0.7
36,VERV,-33.33,-26.97,3,46.0,1,2,Biotechnology,Healthcare,0.525,6.26,0.09,0.065,0.59
37,SAVE,55.56,2.26,18,60.17,55,3,Airlines,Industrials,0.412,3.76,0.013,0.299,0.38
38,FOXF,55.56,2.53,9,36.0,29,3,Auto Parts,Consumer Cyclical,1.689,40.22,0.014,0.25,0.35
39,CNMD,51.28,0.96,39,63.28,48,3,Medical Devices,Healthcare,2.07,67.22,0.005,0.616,0.3
40,CNXC,-16.67,-17.38,6,85.0,24,3,Information Technology Services,Technology,3.704,56.13,0.029,0.071,0.2
41,WOOF,50.0,2.78,6,63.0,8,1,Specialty Retail,Consumer Cyclical,0.421,1.56,0.014,0.095,0.13
42,CMP,66.67,0.23,12,49.42,3,3,Other Industrial Metals & Mining,Basic Materials,0.551,13.34,0.002,0.243,0.04
43,CHTR,33.33,-3.9,6,115.83,37,3,Telecom Services,Communication Services,37.413,259.76,-0.013,0.052,-0.07
44,IRWD,12.5,-4.98,8,46.62,23,3,Drug Manufacturers - Specialty & Generic,Healthcare,1.253,7.88,-0.006,0.172,-0.11
45,MKTX,52.38,-0.61,21,49.19,42,3,Capital Markets,Financial Services,7.729,204.1,-0.003,0.427,-0.14
46,RPD,41.67,-2.32,12,44.25,8,3,Software - Infrastructure,Technology,2.844,45.68,-0.01,0.271,-0.26
47,CRNC,22.22,-17.41,9,87.67,36,3,Software - Application,Technology,0.402,9.65,-0.039,0.103,-0.4
48,CABA,33.33,-19.68,6,92.0,6,3,Biotechnology,Healthcare,0.506,10.48,-0.066,0.065,-0.43
49,TTEC,55.56,-3.09,36,61.58,20,3,Information Technology Services,Technology,0.372,7.85,-0.017,0.585,-1.0
