,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,9,3,Communication Equipment,Technology,1.525,11.85,0.18,0.709,12.8
1,HUM,84.62,11.83,39,46.62,18,3,Healthcare Plans,Healthcare,40.944,339.35,0.1,0.837,8.37
2,APPS,47.62,14.17,21,52.71,3,3,Software - Application,Technology,0.316,3.1,0.067,0.398,2.69
3,SSRM,72.0,6.07,25,45.4,21,3,Gold,Basic Materials,0.875,4.3,0.044,0.551,2.41
4,AMCX,66.67,10.33,12,49.75,1,3,Entertainment,Communication Services,0.516,11.85,0.069,0.241,1.66
5,FWRD,42.86,3.97,21,51.05,16,3,Integrated Freight & Logistics,Industrials,0.937,30.41,0.017,0.411,0.7
6,SAVE,55.56,2.26,18,60.17,20,3,Airlines,Industrials,0.531,4.85,0.013,0.299,0.38
7,MNTK,-33.33,-37.12,3,134.0,9,3,Utilities - Diversified,Utilities,0.724,5.04,0.124,0.022,0.28
