,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,LEGH,100.0,30.65,12,26.0,73,0,Residential Construction,Consumer Cyclical,0.514,21.07,0.306,0.462,14.15
1,SIRI,87.5,22.24,32,49.81,182,0,Entertainment,Communication Services,14.87,3.87,0.195,0.642,12.5
2,AXGN,66.67,37.21,18,40.89,83,0,Medical Devices,Healthcare,0.334,7.74,0.248,0.44,10.92
3,IART,90.32,12.64,31,38.77,65,0,Medical Devices,Healthcare,2.668,34.11,0.114,0.8,9.13
4,SHC,100.0,22.43,9,31.67,66,0,Diagnostics & Research,Healthcare,3.332,11.78,0.224,0.284,6.37
5,IVVD,100.0,27.05,9,39.0,200,0,Biotechnology,Healthcare,0.378,3.18,0.27,0.231,6.24
6,HHH,80.95,13.69,21,41.29,66,0,Real Estate - Diversified,Real Estate,3.604,71.71,0.111,0.509,5.64
7,ARKO,100.0,14.14,12,35.25,492,0,Specialty Retail,Consumer Cyclical,0.706,5.88,0.141,0.34,4.81
8,X,66.1,5.29,59,44.0,405,0,Steel,Basic Materials,8.923,39.69,0.035,1.341,4.69
9,SIBN,100.0,30.55,3,29.0,58,0,Medical Devices,Healthcare,0.658,16.03,0.306,0.103,3.16
10,MEI,64.1,5.3,39,50.08,71,0,Electronic Components,Technology,0.433,12.23,0.034,0.779,2.65
11,ACAD,58.33,7.95,36,63.69,598,0,Biotechnology,Healthcare,3.075,18.66,0.046,0.565,2.62
12,TNGX,100.0,81.27,3,104.0,154,0,Biotechnology,Healthcare,0.907,8.5,0.813,0.029,2.34
13,SAIC,100.0,6.79,12,36.75,102,0,Information Technology Services,Technology,6.612,127.0,0.068,0.327,2.22
14,RDUS,69.7,3.26,33,48.64,971,0,Steel,Basic Materials,0.496,17.8,0.023,0.678,1.54
15,PLNT,100.0,13.86,3,31.0,971,0,Leisure,Consumer Cyclical,5.018,56.91,0.139,0.097,1.34
16,TWKS,100.0,7.02,9,57.44,62,0,Information Technology Services,Technology,0.794,2.46,0.07,0.157,1.1
17,IAS,100.0,7.07,6,46.5,73,0,Advertising Agencies,Communication Services,1.544,9.68,0.071,0.129,0.91
18,HRZN,66.67,4.06,9,48.67,413,0,Asset Management,Financial Services,0.375,11.24,0.027,0.185,0.5
19,UA,73.33,2.26,15,50.6,491,0,Apparel Manufacturing,Consumer Cyclical,3.11,6.99,0.017,0.296,0.49
20,CNXC,-16.67,-17.38,6,85.0,104,0,Information Technology Services,Technology,4.161,62.76,0.029,0.071,0.2
21,TPVG,41.67,0.79,12,59.5,404,0,Asset Management,Financial Services,0.344,9.15,0.003,0.202,0.07
22,PANL,33.33,-7.53,6,84.5,1511,0,Marine Shipping,Industrials,0.324,6.93,-0.025,0.071,-0.18
23,EXPI,41.67,-5.72,12,68.25,65,0,Real Estate Services,Real Estate,1.463,9.46,-0.024,0.176,-0.42
24,CCOI,33.33,-10.64,18,73.33,2115,0,Telecom Services,Communication Services,2.98,62.84,-0.035,0.245,-0.87
25,TTEC,55.56,-3.09,36,61.58,54,0,Information Technology Services,Technology,0.498,10.5,-0.017,0.585,-1.0
