,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,87.5,22.24,32,49.81,22,3,Entertainment,Communication Services,11.732,3.05,0.195,0.642,12.5
1,DMRC,69.7,20.0,33,41.67,1,3,Information Technology Services,Technology,0.467,21.83,0.139,0.792,11.04
2,DENN,83.33,18.18,30,43.07,31,3,Restaurants,Consumer Cyclical,0.418,8.04,0.151,0.697,10.55
3,IART,90.32,12.64,31,38.77,22,3,Medical Devices,Healthcare,2.294,29.18,0.114,0.8,9.13
4,ZD,85.71,19.67,21,39.62,2,3,Advertising Agencies,Communication Services,2.284,49.52,0.169,0.53,8.94
5,BF-B,90.0,8.99,30,30.0,11,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.533,47.31,0.081,1.0,8.09
6,ADBE,70.83,12.04,48,50.85,12,3,Software - Infrastructure,Technology,210.287,469.39,0.085,0.944,8.05
7,LEG,73.02,7.21,63,43.37,8,3,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.773,13.25,0.053,1.453,7.65
8,BF-A,83.61,5.64,61,37.87,9,3,Beverages - Wineries & Distilleries,Consumer Defensive,22.533,48.36,0.047,1.611,7.6
9,EQIX,80.0,14.02,30,48.9,4,3,REIT - Specialty,Real Estate,65.99,695.33,0.112,0.613,6.88
10,COLD,100.0,18.97,9,25.78,24,3,REIT - Industrial,Real Estate,6.371,22.35,0.19,0.349,6.62
11,CAR,73.68,7.3,57,48.07,38,3,Rental & Leasing Services,Industrials,3.378,94.75,0.054,1.186,6.38
12,QDEL,65.91,11.0,44,52.89,36,3,Medical Devices,Healthcare,2.654,39.68,0.073,0.832,6.03
13,IRON,75.0,24.3,12,40.0,6,3,Biotechnology,Healthcare,0.704,28.53,0.182,0.3,5.47
14,ARKO,100.0,14.14,12,35.25,25,3,Specialty Retail,Consumer Cyclical,0.485,4.19,0.141,0.34,4.81
15,RHI,64.15,5.74,53,45.77,1,1,Staffing & Employment Services,Industrials,7.286,69.25,0.037,1.158,4.26
16,EMBC,100.0,24.73,6,37.0,32,3,Medical Instruments & Supplies,Healthcare,0.583,10.13,0.247,0.162,4.01
17,JACK,57.58,10.55,33,55.91,2,3,Restaurants,Consumer Cyclical,1.079,55.25,0.061,0.59,3.59
18,BIGC,100.0,36.87,3,35.0,1,3,Software - Application,Technology,0.448,5.83,0.369,0.086,3.16
19,SIBN,100.0,30.55,3,29.0,22,2,Medical Devices,Healthcare,0.598,14.51,0.306,0.103,3.16
20,LNZA,100.0,58.84,3,66.0,37,3,Waste Management,Industrials,0.473,2.39,0.588,0.045,2.67
21,NUS,71.79,4.54,39,53.0,36,3,Household & Personal Products,Consumer Defensive,0.588,11.83,0.033,0.736,2.4
22,TNGX,100.0,81.27,3,104.0,17,3,Biotechnology,Healthcare,0.777,7.28,0.813,0.029,2.34
23,FIVE,83.33,8.72,12,37.5,2,3,Specialty Retail,Consumer Cyclical,7.84,141.93,0.073,0.32,2.33
24,SPCE,60.0,10.26,15,39.8,1,2,Aerospace & Defense,Industrials,0.381,0.93,0.062,0.377,2.32
25,TXG,100.0,25.84,3,39.0,10,3,Health Information Services,Healthcare,3.223,26.92,0.258,0.077,1.99
26,UNFI,66.67,4.02,39,55.69,23,3,Food Distribution,Consumer Defensive,0.537,9.04,0.027,0.7,1.88
27,SAGE,77.78,7.66,18,57.06,1,3,Biotechnology,Healthcare,0.799,13.28,0.06,0.315,1.88
28,LSXMA,75.0,12.25,12,59.0,1,2,Broadcasting,Communication Services,8.052,24.63,0.092,0.203,1.87
29,LSXMK,75.0,12.08,12,58.75,1,3,Broadcasting,Communication Services,8.052,24.64,0.091,0.204,1.85
30,COUR,100.0,26.43,3,44.0,24,3,Education & Training Services,Consumer Defensive,1.537,9.77,0.264,0.068,1.8
