,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,COLD,100.0,18.97,9,25.78,1,1,REIT - Industrial,Real Estate,6.957,24.43,0.19,0.349,6.62
1,MED,60.47,6.13,43,54.28,28,3,Personal Services,Consumer Cyclical,0.381,34.94,0.037,0.792,2.94
2,LNZA,100.0,58.84,3,66.0,7,3,Waste Management,Industrials,0.529,2.69,0.588,0.045,2.67
3,SSRM,72.0,6.07,25,45.4,28,3,Gold,Basic Materials,0.815,4.02,0.044,0.551,2.41
4,FWRD,42.86,3.97,21,51.05,23,3,Integrated Freight & Logistics,Industrials,0.715,27.13,0.017,0.411,0.7
5,SAVE,55.56,2.26,18,60.17,27,3,Airlines,Industrials,0.449,4.1,0.013,0.299,0.38
6,CNMD,51.28,0.96,39,63.28,20,3,Medical Devices,Healthcare,2.346,76.21,0.005,0.616,0.3
7,MNTK,-33.33,-37.12,3,134.0,16,3,Utilities - Diversified,Utilities,0.581,4.04,0.124,0.022,0.28
8,IRDM,25.0,-5.69,12,66.5,10,3,Telecom Services,Communication Services,3.203,26.16,-0.014,0.18,-0.26
