,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,RUN,100.0,59.26,9,20.0,59,0,Solar,Technology,2.591,11.8,0.593,0.45,26.67
1,DXCM,90.0,26.13,30,35.9,67,0,Medical Devices,Healthcare,44.034,114.22,0.235,0.836,19.65
2,LGIH,100.0,33.62,18,37.33,71,0,Residential Construction,Consumer Cyclical,2.614,110.87,0.336,0.482,16.21
3,MITK,69.39,18.68,49,40.8,401,0,Software - Application,Technology,0.519,11.39,0.13,1.201,15.57
4,AXL,80.95,19.49,42,44.57,946,0,Auto Parts,Consumer Cyclical,0.775,6.62,0.158,0.942,14.87
5,CCK,69.05,20.03,42,41.93,1472,0,Packaging & Containers,Consumer Cyclical,9.063,75.12,0.138,1.002,13.85
6,CATY,92.0,17.58,25,29.8,173,0,Banks - Regional,Financial Services,2.803,38.57,0.162,0.839,13.57
7,UVV,84.72,8.76,72,39.96,328,0,Tobacco,Consumer Defensive,1.173,47.74,0.074,1.802,13.37
8,CBRL,87.72,10.73,57,40.23,68,0,Restaurants,Consumer Cyclical,1.473,66.34,0.094,1.417,13.34
9,SIRI,83.33,21.12,36,48.03,167,0,Entertainment,Communication Services,17.022,4.43,0.176,0.75,13.19
10,TDS,84.06,7.62,69,35.59,158,0,Telecom Services,Communication Services,1.687,14.93,0.064,1.939,12.42
11,LNG,69.7,24.54,33,52.45,955,0,Oil & Gas Midstream,Energy,35.882,152.89,0.171,0.629,10.76
12,GNL,100.0,17.68,21,35.29,58,0,REIT - Diversified,Real Estate,1.671,7.16,0.177,0.595,10.52
13,RENB,75.0,75.19,12,67.25,139,0,Biotechnology,Healthcare,0.318,2.21,0.564,0.178,10.06
14,IFF,92.31,10.08,39,37.0,955,0,Specialty Chemicals,Basic Materials,18.689,73.21,0.093,1.054,9.81
15,AKAM,73.33,13.17,45,44.47,220,0,Software - Infrastructure,Technology,16.329,108.14,0.097,1.012,9.77
16,EXAS,79.49,16.09,39,51.67,36,0,Diagnostics & Research,Healthcare,10.222,56.31,0.128,0.755,9.65
17,ADBE,77.08,13.32,48,52.25,313,0,Software - Infrastructure,Technology,249.423,551.82,0.103,0.919,9.43
