,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,DHC,91.67,21.53,48,35.94,210,0,REIT - Healthcare Facilities,Real Estate,0.553,2.3,0.197,1.336,26.36
1,IDCC,90.24,20.15,41,29.59,353,0,Software - Application,Technology,2.461,96.56,0.182,1.386,25.19
2,HA,100.0,39.5,21,35.38,81,0,Airlines,Industrials,0.69,13.31,0.395,0.594,23.45
3,MVIS,76.47,30.2,51,51.0,77,0,Scientific & Technical Instruments,Technology,0.33,1.69,0.231,1.0,23.09
4,ATNI,100.0,16.01,41,31.17,108,0,Telecom Services,Communication Services,0.447,28.89,0.16,1.315,21.06
5,DKL,100.0,123.0,3,24.0,986,0,Oil & Gas Refining & Marketing,Energy,1.913,40.52,1.23,0.125,15.38
6,MNST,84.62,18.55,39,40.08,1336,0,Beverages - Non-Alcoholic,Consumer Defensive,59.591,56.9,0.157,0.973,15.27
7,LGIH,100.0,39.03,15,38.6,94,0,Residential Construction,Consumer Cyclical,2.484,105.36,0.39,0.389,15.17
8,ATLC,77.78,20.66,45,49.27,87,0,Credit Services,Financial Services,0.419,28.68,0.161,0.913,14.68
9,ARWR,62.3,24.34,61,63.7,84,0,Biotechnology,Healthcare,3.245,26.19,0.152,0.958,14.52
10,LEGH,100.0,30.65,12,26.0,81,0,Residential Construction,Consumer Cyclical,0.512,20.99,0.306,0.462,14.15
11,LIND,100.0,59.39,9,39.67,74,0,Travel Services,Consumer Cyclical,0.44,8.23,0.594,0.227,13.47
12,NEGG,80.95,30.6,21,39.81,86,0,Internet Retail,Consumer Cyclical,0.322,0.85,0.248,0.528,13.07
13,AVXL,95.83,19.43,24,34.46,81,0,Biotechnology,Healthcare,0.373,4.54,0.186,0.696,12.97
14,MDXG,85.19,23.65,27,44.67,337,0,Biotechnology,Healthcare,1.011,6.88,0.201,0.604,12.18
15,BLTE,100.0,96.39,3,25.0,170,0,Biotechnology,Healthcare,1.135,38.16,0.964,0.12,11.57
16,AKRO,100.0,32.68,12,34.0,72,0,Biotechnology,Healthcare,1.612,23.38,0.327,0.353,11.53
17,APLD,100.0,110.85,3,29.0,408,0,Capital Markets,Financial Services,0.466,3.82,1.108,0.103,11.47
18,SGRY,83.33,34.88,18,47.17,83,0,Medical Care Facilities,Healthcare,3.526,27.85,0.291,0.382,11.09
19,HQL,90.48,9.85,42,33.81,74,0,Asset Management,Financial Services,0.353,13.18,0.089,1.242,11.07
20,DMRC,69.7,20.0,33,41.67,410,0,Information Technology Services,Technology,0.53,25.94,0.139,0.792,11.04
21,MLKN,82.35,9.48,51,36.1,181,0,"Furnishings, Fixtures & Appliances",Consumer Cyclical,1.892,25.98,0.078,1.413,11.03
22,AXGN,66.67,37.21,18,40.89,91,0,Medical Devices,Healthcare,0.337,7.81,0.248,0.44,10.92
23,CATY,90.48,17.94,21,31.43,196,0,Banks - Regional,Financial Services,2.666,36.68,0.162,0.668,10.85
24,APLS,100.0,57.05,6,32.0,130,0,Biotechnology,Healthcare,6.716,55.7,0.57,0.188,10.7
25,AIR,72.31,9.62,65,43.4,963,0,Aerospace & Defense,Industrials,2.069,58.39,0.07,1.498,10.42
26,ENVX,100.0,47.54,6,27.5,73,0,Electrical Equipment & Parts,Industrials,1.281,7.6,0.475,0.218,10.37
27,CARS,91.67,39.4,12,42.0,94,0,Auto & Truck Dealerships,Consumer Cyclical,1.096,16.68,0.361,0.286,10.32
28,VYX,83.33,13.34,30,34.6,331,0,Information Technology Services,Technology,1.753,12.15,0.111,0.867,9.64
29,SMTI,54.35,23.51,46,61.37,76,0,Medical Instruments & Supplies,Healthcare,0.301,35.21,0.128,0.75,9.58
30,AKAM,73.33,12.76,45,43.93,243,0,Software - Infrastructure,Technology,16.452,107.38,0.094,1.024,9.58
31,PANW,100.0,23.03,15,36.8,982,0,Software - Infrastructure,Technology,87.886,272.11,0.23,0.408,9.39
32,CNC,95.24,16.98,21,36.29,226,0,Healthcare Plans,Healthcare,38.751,72.45,0.162,0.579,9.36
33,FDS,100.0,9.12,27,26.44,495,0,Financial Data & Stock Exchanges,Financial Services,16.743,439.6,0.091,1.021,9.31
