,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
367,MCW,100.0,11.28,6,42.5,115,0,Personal Services,Consumer Cyclical,2.126,6.69,0.113,0.141,1.59
368,SRCL,75.0,4.42,24,50.62,244,0,Waste Management,Industrials,4.11,44.3,0.033,0.474,1.57
369,ARHS,100.0,30.1,3,58.0,213,0,Home Improvement Retail,Consumer Cyclical,1.8,12.83,0.301,0.052,1.56
370,JNPR,56.67,4.49,30,49.1,102,0,Communication Equipment,Technology,11.339,34.89,0.025,0.611,1.55
371,EVH,50.0,11.12,18,65.11,134,0,Health Information Services,Healthcare,3.169,27.27,0.056,0.276,1.54
372,BRK-B,75.0,6.71,12,39.25,104,0,Insurance - Diversified,Financial Services,861.925,398.58,0.05,0.306,1.54
373,TEX,60.0,3.41,45,60.29,232,0,Farm & Heavy Construction Machinery,Industrials,3.754,55.78,0.02,0.746,1.53
374,FOR,66.67,7.65,18,60.17,980,0,Real Estate - Development,Real Estate,1.578,31.18,0.051,0.299,1.53
375,ACMR,88.89,7.96,9,41.67,342,0,Semiconductor Equipment & Materials,Technology,1.545,24.92,0.071,0.216,1.53
376,GBAB,80.0,4.22,15,33.07,365,0,Asset Management,Financial Services,0.367,15.61,0.034,0.454,1.53
377,DV,100.0,20.31,3,40.0,104,0,Software - Application,Technology,5.103,29.72,0.203,0.075,1.52
378,ACCO,70.83,4.39,24,49.38,348,0,Business Equipment & Supplies,Industrials,0.452,4.76,0.031,0.486,1.51
379,SYY,62.86,3.05,35,45.17,1001,0,Food Distribution,Consumer Defensive,36.378,73.05,0.019,0.775,1.49
380,MQY,71.74,2.19,46,48.83,113,0,Asset Management,Financial Services,0.847,11.79,0.016,0.942,1.48
381,IDXX,70.59,6.34,17,51.71,433,0,Diagnostics & Research,Healthcare,38.873,468.04,0.045,0.329,1.47
382,GEF,64.0,4.95,25,54.68,521,0,Packaging & Containers,Consumer Cyclical,2.932,61.36,0.032,0.457,1.45
