,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,12,3,Communication Equipment,Technology,1.482,11.51,0.18,0.709,12.8
1,GNE,95.24,12.06,21,47.0,18,3,Utilities - Regulated Electric,Utilities,0.438,15.99,0.115,0.447,5.13
2,MED,60.47,6.13,43,54.28,24,3,Personal Services,Consumer Cyclical,0.39,35.75,0.037,0.792,2.94
3,APPS,47.62,14.17,21,52.71,6,3,Software - Application,Technology,0.304,2.98,0.067,0.398,2.69
4,SSRM,72.0,6.07,25,45.4,24,3,Gold,Basic Materials,0.846,4.18,0.044,0.551,2.41
5,FWRD,42.86,3.97,21,51.05,19,3,Integrated Freight & Logistics,Industrials,0.909,29.5,0.017,0.411,0.7
6,SAVE,55.56,2.26,18,60.17,23,3,Airlines,Industrials,0.498,4.55,0.013,0.299,0.38
7,MNTK,-33.33,-37.12,3,134.0,12,3,Utilities - Diversified,Utilities,0.701,4.88,0.124,0.022,0.28
