,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,33,3,Communication Equipment,Technology,1.377,10.7,0.18,0.709,12.8
1,SIRI,87.5,21.83,32,49.91,9,3,Entertainment,Communication Services,12.347,3.21,0.191,0.641,12.25
2,DENN,83.33,18.18,30,43.07,18,3,Restaurants,Consumer Cyclical,0.439,8.41,0.151,0.697,10.55
3,GNL,100.0,18.57,18,34.94,23,3,REIT - Diversified,Real Estate,1.579,6.78,0.186,0.515,9.57
4,IART,90.32,12.64,31,38.77,9,3,Medical Devices,Healthcare,2.578,32.8,0.114,0.8,9.13
5,HUM,84.62,11.83,39,46.62,42,3,Healthcare Plans,Healthcare,37.682,312.59,0.1,0.837,8.37
6,AMC,66.67,22.0,21,37.43,143,3,Entertainment,Communication Services,0.699,2.65,0.147,0.561,8.23
7,ADBE,70.83,12.04,48,50.85,2,1,Software - Infrastructure,Technology,212.392,474.09,0.085,0.944,8.05
8,COLB,100.0,16.08,16,34.19,36,3,Banks - Regional,Financial Services,3.694,17.65,0.161,0.468,7.53
9,COLD,100.0,18.97,9,25.78,11,3,REIT - Industrial,Real Estate,6.818,23.94,0.19,0.349,6.62
10,QDEL,65.91,11.0,44,52.89,23,3,Medical Devices,Healthcare,2.82,42.17,0.073,0.832,6.03
11,HHH,80.95,13.69,21,41.29,2,3,Real Estate - Diversified,Real Estate,3.23,64.29,0.111,0.509,5.64
12,GNE,95.24,12.06,21,47.0,39,3,Utilities - Regulated Electric,Utilities,0.42,15.34,0.115,0.447,5.13
13,GTN,79.31,13.26,29,61.34,16,3,Broadcasting,Communication Services,0.565,5.56,0.105,0.473,4.97
14,ARKO,100.0,14.14,12,35.25,12,3,Specialty Retail,Consumer Cyclical,0.56,4.67,0.141,0.34,4.81
15,AMPH,100.0,13.56,11,34.27,1,1,Drug Manufacturers - Specialty & Generic,Healthcare,1.906,39.62,0.136,0.321,4.35
16,EMBC,100.0,24.73,6,37.0,19,3,Medical Instruments & Supplies,Healthcare,0.59,10.25,0.247,0.162,4.01
17,FUBO,75.0,29.01,12,66.25,17,2,Broadcasting,Communication Services,0.434,1.45,0.218,0.181,3.94
18,SITM,100.0,34.74,3,27.0,15,3,Semiconductors,Technology,1.864,81.63,0.347,0.111,3.86
19,ACRE,50.0,56.56,6,52.5,25,3,REIT - Mortgage,Real Estate,0.382,7.02,0.283,0.114,3.23
20,SIBN,100.0,30.55,3,29.0,9,2,Medical Devices,Healthcare,0.615,14.97,0.306,0.103,3.16
21,U,100.0,25.34,6,50.0,4,3,Software - Application,Technology,9.768,25.31,0.253,0.12,3.04
22,TBBK,61.11,14.74,18,53.67,5,3,Banks—Regional,Financial Services,1.645,31.48,0.09,0.335,3.02
23,MED,60.47,6.13,43,54.28,45,3,Personal Services,Consumer Cyclical,0.343,31.51,0.037,0.792,2.94
24,MEI,64.1,5.3,39,50.0,8,3,Electronic Components,Technology,0.443,12.52,0.034,0.78,2.65
25,ACAD,58.33,7.95,36,63.69,6,3,Biotechnology,Healthcare,2.824,17.14,0.046,0.565,2.62
