,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,EXTR,97.22,18.56,36,50.75,15,3,Communication Equipment,Technology,1.449,11.26,0.18,0.709,12.8
1,DENN,83.33,18.18,30,43.07,1,2,Restaurants,Consumer Cyclical,0.46,8.8,0.151,0.697,10.55
2,LNZA,100.0,58.84,3,66.0,6,3,Waste Management,Industrials,0.553,2.81,0.588,0.045,2.67
3,SSRM,72.0,6.07,25,45.4,27,3,Gold,Basic Materials,0.815,4.02,0.044,0.551,2.41
4,FWRD,42.86,3.97,21,51.05,22,3,Integrated Freight & Logistics,Industrials,0.819,26.6,0.017,0.411,0.7
5,SAVE,55.56,2.26,18,60.17,26,3,Airlines,Industrials,0.469,4.28,0.013,0.299,0.38
6,CNMD,51.28,0.96,39,63.28,19,3,Medical Devices,Healthcare,2.352,76.41,0.005,0.616,0.3
7,MNTK,-33.33,-37.12,3,134.0,15,3,Utilities - Diversified,Utilities,0.54,3.76,0.124,0.022,0.28
8,IRDM,25.0,-5.69,12,66.5,9,3,Telecom Services,Communication Services,3.241,26.47,-0.014,0.18,-0.26
