,Stock,pprof,avgTradeP,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,EarningP
6,HUM,67.0,14.000000000000002,6,101.0,10.0,1,Healthcare Plans,Healthcare,31.016,257.6,64.09
0,AES,56.99999999999999,7.000000000000001,7,85.0,19.0,1,Utilities - Diversified,Utilities,12.377,17.41,36.92
8,MRNA,67.0,11.0,3,73.0,23.0,1,Biotechnology,Healthcare,22.03,57.31,20.83
3,DLTR,50.0,-7.000000000000001,6,110.0,28.0,1,Discount Stores,Consumer Defensive,14.561,67.73,-47.24
2,DG,56.99999999999999,-6.0,7,108.0,31.0,1,Discount Stores,Consumer Defensive,17.719,80.57,-48.14
1,CAG,40.0,3.0,5,115.0,54.0,1,Packaged Foods,Consumer Defensive,14.118,29.58,13.15
5,GIS,60.0,1.0,5,108.0,66.0,1,Packaged Foods,Consumer Defensive,39.544,71.23,4.31
7,MPC,67.0,27.0,6,72.0,69.0,1,Oil & Gas Refining & Marketing,Energy,52.552,157.02,143.97
4,ENTG,50.0,6.0,6,80.0,79.0,1,Semiconductor Equipment & Materials,Technology,15.495,102.63,8.19
