,Stock,%prof,avgTrade%,nTrades,avgDays,openSeshs,numOpen,Industry,Sector,MarketCap,Price,realAvg,ntFact,Score
0,SIRI,87.5,22.24,32,49.81,172,0,Entertainment,Communication Services,16.1,4.19,0.195,0.642,12.5
1,AAPL,77.55,7.92,49,50.69,1260,0,Consumer Electronics,Technology,2611.534,169.12,0.061,0.967,5.94
2,WDAY,75.0,20.35,12,32.25,481,0,Software - Application,Technology,70.203,266.93,0.153,0.372,5.68
3,XEL,73.33,2.28,45,42.07,80,0,Utilities - Regulated Electric,Utilities,26.892,48.44,0.017,1.07,1.79
4,UNH,53.33,9.27,15,69.0,3915,0,Healthcare Plans,Healthcare,435.706,472.6,0.049,0.217,1.07
